Zip,Zip,NAICSIndustry,PctLoanMin
93722.0,93722.0,"General Freight Trucking, Long-Distance, Truckload ",3.120266048101104
93722.0,93722.0,"Plumbing, Heating, and Air-Conditioning Contractors ",2.9813132753569977
93722.0,93722.0,Freight Transportation Arrangement ,2.6668160203354048
93722.0,93722.0,Full-Service Restaurants ,2.62599081791866
93722.0,93722.0,UNKNOWN,2.491762673303717
93722.0,93722.0,Security Guards and Patrol Services ,2.2206501380350545
93722.0,93722.0,"General Freight Trucking, Local ",2.2100649833457235
93722.0,93722.0,Farm Labor Contractors and Crew Leaders ,2.017062772059872
93723.0,93723.0,"All Other Professional, Scientific, and Technical Services",25.2851187018337
93723.0,93723.0,UNKNOWN,8.45015708870108
93723.0,93723.0,"General Freight Trucking, Long-Distance, Truckload ",8.010333255306334
93723.0,93723.0,Commercial and Institutional Building Construction ,4.432940820516782
93723.0,93723.0,Tree Nut Farming ,4.247952539545301
93723.0,93723.0,Temporary Help Services,4.183902962198277
93723.0,93723.0,"General Freight Trucking, Local ",3.7906158446714695
93723.0,93723.0,"Specialized Freight (except Used Goods) Trucking, Long-Distance ",3.355071426766544
93723.0,93723.0,Grape Vineyards ,3.261555577177435
93723.0,93723.0,All Other Support Services,3.038804583469999
93725.0,93725.0,"General Freight Trucking, Long-Distance, Truckload ",5.1638510887576485
93725.0,93725.0,Recreational Vehicle Dealers ,4.476514272273488
93725.0,93725.0,"General Freight Trucking, Local ",4.31676196073634
93725.0,93725.0,"Plumbing, Heating, and Air-Conditioning Contractors ",3.8021984947351055
93725.0,93725.0,Water and Sewer Line and Related Structures Construction ,3.774315955054117
93725.0,93725.0,Beer and Ale Merchant Wholesalers ,3.5109915860968535
93725.0,93725.0,Dried and Dehydrated Food Manufacturing ,3.5109915860968535
93725.0,93725.0,Grain and Field Bean Merchant Wholesalers ,3.5109915860968535
93725.0,93725.0,Postharvest Crop Activities (except Cotton Ginning) ,3.5109915860968535
93725.0,93725.0,Spring Manufacturing ,3.5109915860968535
93726.0,93726.0,Full-Service Restaurants ,9.352131720760426
93726.0,93726.0,Services for the Elderly and Persons with Disabilities ,7.021197220960711
93726.0,93726.0,Other Individual and Family Services ,5.5110406762913025
93726.0,93726.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,5.189212961368979
93726.0,93726.0,Religious Organizations ,4.857648062908699
